creative,uid,fav_path,opp_paths,fav_name,opp_names
HOUSE/AR01 CRAWFORD IT CAME FROM WASHINGTON,bqAfEUP4evU,,,Rick Crawford,"Scott Ellington,Jessica Paxton"
HOUSE/AR01 CRAWFORD TICKING TIME BOMB,QEtYnTXi_yc,,,Rick Crawford,"Scott Ellington,Jessica Paxton"
